Shear-Relative Angle,Low-Level Mean Flow-Relative Angle,Updraft Depth,Updraft Bottom Altitude,Updraft Top Altitude,Upraft Vertical Velocity,Circulation Classification,Updraft Radius,Updraft Normalized Radius
103.2157,232.6672,15.5,0,15.5,3.728241,2,24.97779,0.9606842
190.139,319.5905,12,0,12,1.932056,1,112.5194,4.327668
67.59837,197.0499,2,0.5,2.5,1.954286,1,68.15492,2.621343
18.33826,147.7898,4,0,4,2.410488,3,128.1294,4.928052
7.588894,137.0404,5,0.5,5.5,2.092558,3,127.6354,4.909055
49.06796,178.5195,2,1,3,1.477778,1,108.5704,4.175786
22.53668,151.9882,7,1,8,1.715123,1,66.06528,2.540972
278.8955,48.34705,9.5,1,10.5,2.655032,3,27.57121,1.060431
186.2003,315.6518,1.5,1.5,3,1.5075,1,145.8904,5.611168
204.8723,334.3238,4,1.5,5.5,1.66046,1,103.4275,3.977982
167.2004,296.6519,1.5,2,3.5,1.538333,1,82.69891,3.180727
204.4274,333.8788,3.5,1.5,5,1.982885,1,150.7286,5.797253
60.8544,190.3059,3.5,2.5,6,1.644667,1,73.77184,2.837379
57.33557,186.7871,3,3.5,6.5,1.540435,1,54.39426,2.092087
20.20891,149.6604,1.5,4,5.5,1.5008,1,93.27976,3.587683
44.6346,174.0861,1.5,5.5,7,1.761429,3,107.264,4.12554
196.6852,326.1367,2,6,8,1.684,1,149.693,5.757424
46.04643,175.4979,2,7,9,1.554286,1,48.34182,1.859301
42.70758,172.1591,3,7,10,1.5245,2,82.39864,3.169178
272.8371,42.2886,1.5,7.5,9,1.488,1,16.85193,0.6481513
178.5704,308.0219,1.5,8,9.5,1.414667,1,113.1495,4.351903
172.0953,301.5468,1.5,8,9.5,1.43,1,71.84055,2.763098
22.67251,152.124,4,8.5,12.5,1.567325,2,79.90225,3.073164
40.49294,169.9444,2,10,12,1.5025,1,48.97799,1.883769
203.1871,332.6385,3.5,0.5,4,1.62,NaN,7.099333,0.2730513
80.49712,209.9486,13.5,0,13.5,2.42801,1,28.43812,1.093774
267.511,36.96246,3,1,4,1.691552,2,56.96972,2.191143
358.9162,128.3677,4,1.5,5.5,1.627692,1,55.53321,2.135893
281.6654,51.11694,9.5,1.5,11,1.75228,2,62.65266,2.409718
324.7143,94.16583,11.5,1.5,13,1.818083,2,75.43694,2.901421
135.228,264.6795,2.5,2.5,5,1.621667,1,60.29926,2.319202
119.6409,249.0924,6.5,2.5,9,1.737188,2,18.46307,0.710118
129.585,259.0365,1.5,2.5,4,1.466274,1,74.29675,2.857567
